mom,chi,EI,eps_sup,eps_inf,hor_0,mom_0,VR,sig_c_max,sig_c_min,sig_s_max,sig_s_min
23.274538842151742,1.1813002039383471e-06,19702475.936731875,-5.465961896443627e-06,-1.922061284628586e-06,0.0,7.105427357601002e-15,,,,,
69.82361652645704,3.568821396455273e-06,19564895.176824834,-9.035831905062143e-06,1.6706322843036765e-06,4.263256414560601e-14,2.842170943040401e-14,,,,,
116.37269421076235,6.062724110530163e-06,19194786.38466133,-1.2698523371728798e-05,5.489648959861692e-06,0.0,0.0,,,,,
162.92177189506674,8.607079479972929e-06,18928809.97255287,-1.639984591798161e-05,9.421392521937176e-06,2.842170943040401e-14,0.0,,,,,
209.47084957937204,1.1192674293393096e-05,18714995.54874211,-2.013457102165575e-05,1.3443451858523537e-05,-1.4210854715202004e-14,-5.684341886080802e-14,,,,,
256.01992726367735,1.3819882417050487e-05,18525477.969900012,-2.3904259029583736e-05,1.755538822156773e-05,-5.684341886080802e-14,5.684341886080802e-14,,,,,
302.56900494798265,1.6490890547972943e-05,18347644.966036983,-2.771131269448886e-05,2.1761358949429967e-05,0.0,-5.684341886080802e-14,,,,,
349.11808263228704,1.920867767433316e-05,18175019.048749115,-3.155842378209839e-05,2.606760924090109e-05,5.684341886080802e-14,5.684341886080802e-14,,,,,
395.66716031659234,2.1976781663523924e-05,18003871.830482937,-3.5448608965892364e-05,3.0481736024679398e-05,-2.842170943040401e-14,0.0,,,,,
442.21623800089765,2.4799319003721866e-05,17831789.57190438,-3.938526690807937e-05,3.5012690103086224e-05,4.220623850414995e-12,4.774847184307873e-12,,,,,
488.76531568520295,2.7681063190693883e-05,17657028.28385296,-4.337228263725529e-05,3.967090693482635e-05,-9.947598300641403e-14,0.0,,,,,
535.3143933695073,3.062758414486303e-05,17478178.848111734,-4.741413039645185e-05,4.446862203813724e-05,-2.842170943040401e-14,0.0,,,,,
581.8634710538126,3.3645436024482844e-05,17293979.20806872,-5.1516026068262e-05,4.942028200518653e-05,5.684341886080802e-14,2.2737367544323206e-13,,,,,
628.412548738118,3.674240289491471e-05,17103196.830523368,-5.568414541002708e-05,5.454306327471705e-05,1.4210854715202004e-13,2.2737367544323206e-13,,,,,
674.9616264224233,3.99278514875128e-05,16904531.580756694,-5.992589004738666e-05,5.9857664415151735e-05,5.684341886080802e-14,1.1368683772161603e-13,,,,,
721.5107041067276,4.321322286335565e-05,16696526.116281897,-6.425026672977258e-05,6.538940186029438e-05,-5.684341886080802e-14,-2.2737367544323206e-13,,,,,
768.059781791033,4.6612738807622e-05,16477465.204542791,-6.866843891669464e-05,7.116977750617135e-05,-5.684341886080802e-14,1.1368683772161603e-13,,,,,
814.6088594753382,5.0144458037564216e-05,16245242.073712282,-7.319453645934664e-05,7.723883765334603e-05,-5.684341886080802e-14,0.0,,,,,
861.1579371596436,5.383190935834422e-05,15997165.01651747,-7.784691568301608e-05,8.36488123920166e-05,0.0,-1.1368683772161603e-13,,,,,
907.707014843948,5.770674973109982e-05,15729650.674724428,-8.265020231987262e-05,9.047004687342683e-05,-5.684341886080802e-14,1.1368683772161603e-13,,,,,
954.2560925282532,6.181335361023792e-05,15437701.35083244,-8.763882878487999e-05,9.78012320458338e-05,-2.4158453015843406e-13,-1.1368683772161603e-13,,,,,
1000.8051702125586,6.621741561185806e-05,15113926.766319415,-9.286362355305965e-05,0.00010578862328251452,5.684341886080802e-14,0.0,,,,,
1047.3542478968639,7.115786149374034e-05,14718742.608488848,-9.850305324493524e-05,0.00011497053123628577,1.1368683772161603e-13,0.0,,,,,
1093.9033255811682,7.712899870180975e-05,14182776.180076364,-0.0001049105771048365,0.00012647641900059273,1.7053025658242404e-13,0.0,,,,,
1140.4524032654735,8.402312506877736e-05,13573077.677507866,-0.00011197966276596167,0.00014008971244037046,2.2737367544323206e-13,0.0,,,,,
1187.0014809497789,9.205656811978216e-05,12894261.7044476,-0.00011982631610491553,0.00015634338825443097,2.2737367544323206e-13,6.821210263296962e-13,,,,,
1233.5505586340842,0.00010151581670833099,12151313.939366177,-0.00012859592571012695,0.000175951524414866,3.410605131648481e-13,0.0,,,,,
1280.0996363183885,0.00011278564775897639,11349845.142122773,-0.00013847218084821062,0.00019988476242871857,4.533262654149439e-12,-9.094947017729282e-13,,,,,
1326.6487140026939,0.0001263908877218792,10496395.253761962,-0.00014968785519153664,0.00022948480797410097,2.2737367544323206e-13,0.0,,,,,
1373.1977916869992,0.00014305065475319495,9599381.380366102,-0.00016253486651416846,0.0002666170977454164,1.1368683772161603e-13,0.0,,,,,
1419.7468693713035,0.00016373694429679903,8670901.21578053,-0.0001773631100752689,0.0003138477228151282,0.0,0.0,,,,,
1466.2959470556088,0.00018968627161474946,7730111.064830449,-0.00019453803411106346,0.0003745207807331849,-1.2789769243681803e-13,-4.547473508864641e-13,,,,,
1512.8450247399142,0.00022220183995877899,6808427.081524457,-0.0002142901240957728,0.00045231539578056415,5.826450433232822e-13,-2.2737367544323206e-13,,,,,
1559.3941024242195,0.00026193252981180086,5953419.01040183,-0.00023638451056737879,0.0005494130788680238,-4.689582056016661e-13,-2.2737367544323206e-13,,,,,
1605.9431801085238,0.00030773884060282194,5218526.127422466,-0.00025980392000853416,0.0006634126017999317,0.0,0.0,,,,,
1652.4922577928292,0.0003565346334220481,4634871.630652191,-0.00028304105114288684,0.0007865628491232576,-3.552713678800501e-13,0.0,,,,,
1699.0413354771345,0.00040501033240711195,4195056.766525346,-0.00030495568340947553,0.0009100753138118604,-2.4158453015843406e-13,2.2737367544323206e-13,,,,,
1745.5904131614398,0.00045119760470615144,3868793.6171520217,-0.0003251623708929328,0.0010284304432255215,-2.4158453015843406e-13,-2.2737367544323206e-13,,,,,
1792.1394908457441,0.0004944386771163602,3624594.057442609,-0.00034376353777321644,0.001139552493575864,-1.2789769243681803e-13,4.547473508864641e-13,,,,,
1838.6885685300495,0.0005347753492860883,3438244.8087494173,-0.0003610236526228983,0.0012433023952353665,-3.552713678800501e-13,2.2737367544323206e-13,,,,,
1885.2376462143548,0.0005724906004386433,3293045.5884688455,-0.0003772094030223538,0.0013402623982935761,-2.6858515411731787e-12,-1.5916157281026244e-12,,,,,
1931.78672389866,0.0006079183734829042,3177707.41626217,-0.00039254386066504403,0.0014312112597836685,-2.4158453015843406e-13,-6.821210263296962e-13,,,,,
